Publically avalible CGM Datasets,Accessibility,Year,Country,Population,Person Count,Days / Person,,Total Glucose samples
,,,,,,Mean,Range,
Hall_2018,Open,2018,US,"T2D, PreD, ND",57,8.3,7 – 17,105426
D1NAMO,Open,2018,Switzerland,T1D,9,4.3,2 – 6,8691
Colas_2019,Open,2019,Spain,"T2D, ND",208,1.9,1 – 2,114253
OhioT1DM,Controlled,2020,US,T1D,12,54.3,48 – 57,166533
T1DEXI,Controlled,2022,US,T1D,497,27.2,3 – 28,3785253
T1DEXIP,Controlled,2022,US,T1D,247,10.1,3 – 20,685136
BIGIDEAs,Open,2023,US,"PreD, ND",16,9.4,8 – 11,36898
DiaTrend,Controlled,2023,US,T1D,54,512.3,31 – 1907,7680740
ShanghaiT1DM,Open,2023,China,T1D,12,15.1,7 – 42,15695
ShanghaiT2DM,Open,2023,China,T2D,100,12.9,4 – 41,112462
T1DiabetesGranada,Controlled,2024,Spain,T1D,736,350.3,8 – 1463,22671708
UCHTT1DM,Open,2024,Chile,"T1D, ND",20,6.4,3 – 8,29174
HUPA-UCM,Open,2025,Spain,T1D,25,43.7,9 – 575,309392
AI-READI,Controlled,2024,US,"T2D, PreD, ND",2280,10.7,2 – 15,6194153
CGMacros,Open,2025,US,"T2D, PreD, ND",45,11,8 – 12,629825
T1D-UOM,Open,2025,UK,T1D,17,96.2,30 – 178,356146
Bris-T1D_Open,Open,2025,UK,T1D,20,182.8,67 – 223,848574
AZT1D,Open,2025,US,T1D,25,42.5,29 – 49,306712
Park_2025,Open,2025,US,"T2D, PreD, ND",38,NR,NR,23520
PhysioCGM,Open,2025,US,T1D,10,80.3,19 – 90,201586
,,,,,,,,
Glucose-ML,,,,,4428,,,44969237